goos: windows
goarch: amd64
pkg: jr_cache_compare
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkMixedZipf/jr_cache/CacheMap-LRU/100000-24  	10584642	        56.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/CacheMap-LFU/10000-24   	 3015379	       207.1 ns/op	      20 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/CacheMap-LFU/100000-24  	 2469576	       303.7 ns/op	      21 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/Sharded-LRU/10000-24    	 9322617	        67.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/Sharded-LRU/100000-24   	 7064791	        99.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/Sharded-LFU/10000-24    	 2042167	       302.4 ns/op	      24 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/Sharded-LFU/100000-24   	 1706174	       361.8 ns/op	      24 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/Sharded-LRU-global/10000-24         	 6892898	        86.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/Sharded-LRU-global/100000-24        	 5204863	       119.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/hashicorp/golang-lru/10000-24                	16936329	        35.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/hashicorp/golang-lru/100000-24               	11255515	        54.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/hashicorp/golang-lru-2Q/10000-24             	13312860	        42.25 ns/op	       1 B/op	       0 allocs/op
BenchmarkMixedZipf/hashicorp/golang-lru-2Q/100000-24            	 8893296	        67.49 ns/op	       2 B/op	       0 allocs/op
BenchmarkMixedZipf/dgraph-io/ristretto/10000-24                 	 8529232	        72.36 ns/op	      16 B/op	       0 allocs/op
BenchmarkMixedZipf/dgraph-io/ristretto/100000-24                	 6408900	        89.37 ns/op	      15 B/op	       0 allocs/op
BenchmarkMixedZipf/maypok86/otter/10000-24                      	 9840952	        62.99 ns/op	       5 B/op	       0 allocs/op
BenchmarkMixedZipf/maypok86/otter/100000-24                     	 7474138	        84.13 ns/op	       5 B/op	       0 allocs/op
BenchmarkMixedZipf/Yiling-J/theine/10000-24                     	 4474249	       130.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkMixedZipf/Yiling-J/theine/100000-24                    	 3239605	       182.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkMixedZipf/bluele/gcache-LRU/10000-24                   	 8616343	        71.17 ns/op	      17 B/op	       1 allocs/op
BenchmarkMixedZipf/bluele/gcache-LRU/100000-24                  	 5539854	       109.6 ns/op	      17 B/op	       1 allocs/op
BenchmarkMixedZipf/bluele/gcache-LFU/10000-24                   	 4983280	       137.2 ns/op	      25 B/op	       1 allocs/op
BenchmarkMixedZipf/bluele/gcache-LFU/100000-24                  	 3530439	       170.9 ns/op	      26 B/op	       1 allocs/op
BenchmarkMixedZipf/allegro/bigcache/10000-24                    	 9165272	        66.68 ns/op	      12 B/op	       1 allocs/op
BenchmarkMixedZipf/allegro/bigcache/100000-24                   	 7558236	        77.06 ns/op	      11 B/op	       1 allocs/op
BenchmarkMixedZipf/coocood/freecache/10000-24                   	 7992295	        75.19 ns/op	       6 B/op	       0 allocs/op
BenchmarkMixedZipf/coocood/freecache/100000-24                  	 5883685	        98.56 ns/op	       6 B/op	       0 allocs/op
BenchmarkMixedZipf/patrickmn/go-cache/10000-24                  	27982464	        20.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/patrickmn/go-cache/100000-24                 	20255762	        38.28 ns/op	       1 B/op	       0 allocs/op
BenchmarkMixedZipf/orcaman/concurrent-map/10000-24              	20888236	        27.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/orcaman/concurrent-map/100000-24             	16721382	        36.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/ShardedMap/10000-24                 	17659836	        31.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/ShardedMap/100000-24                	14639430	        40.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/CacheMap-LRU/10000-24   	 5783684	        91.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/CacheMap-LRU/100000-24  	 6437601	        93.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/CacheMap-LFU/10000-24   	 2247621	       268.8 ns/op	       2 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/CacheMap-LFU/100000-24  	 2241745	       311.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/Sharded-LRU/10000-24    	14726997	        41.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/Sharded-LRU/100000-24   	12619464	        45.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/Sharded-LFU/10000-24    	 7799551	        82.13 ns/op	       1 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/Sharded-LFU/100000-24   	 5797879	        86.44 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/Sharded-LRU-global/10000-24         	 4061078	       147.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/Sharded-LRU-global/100000-24        	 3094468	       206.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/hashicorp/golang-lru/10000-24                	 8290338	        69.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/hashicorp/golang-lru/100000-24               	 7327411	        82.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/hashicorp/golang-lru-2Q/10000-24             	 8681472	        69.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/hashicorp/golang-lru-2Q/100000-24            	 8636942	        84.74 ns/op	       1 B/op	       0 allocs/op
BenchmarkGetHitParallel/dgraph-io/ristretto/10000-24                 	95637342	         6.492 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/dgraph-io/ristretto/100000-24                	84139677	         6.996 ns/op	       1 B/op	       0 allocs/op
